company_name,RAM,ROM,height_in,battery_power,front_camera,back_camera,price_eur
IQOO,8,128,7.02,4700,32,138,318
OPPO,8,128,6.5,4000,16,60,318
OnePlus,8,128,6.7,4500,50,50,318
IQOO,8,128,7.02,4700,64,64,318
vivo,6,64,6.41,3400,25,17,318
SAMSUNG,8,128,6.4,5000,13,63,318
OnePlus,8,128,6.7,4500,50,50,318
Nokia,4,64,6.18,3500,20,25,317
Nokia,4,64,6.18,3500,20,25,317
Mi,8,128,7.07,4520,20,121,316
OnePlus,8,128,6.7,4500,50,50,315
SAMSUNG,8,128,6.4,5000,13,63,313
SAMSUNG,6,128,6.4,5000,13,63,313
OnePlus,8,128,6.7,4500,50,50,312
Xiaomi,8,128,7.07,5000,108,108,312
OnePlus,8,128,6.7,4500,50,50,310
realme,8,128,6.43,4300,32,74,307
IQOO,8,128,7.02,4700,32,138,307
REDMI,8,256,7.07,5000,16,60,307
POCO,6,128,7.07,4500,20,74,307
REDMI,8,256,7.07,5000,16,60,307
IQOO,8,128,7.02,4700,32,138,307
vivo,8,128,6.44,4000,44,74,307
vivo,8,128,6.44,4000,44,74,307
vivo,8,128,6.44,4500,32,60,307
vivo,8,128,6.44,4500,32,60,307
vivo,8,256,6.38,4500,16,68,304
IQOO,8,128,7.02,4700,64,64,304
SAMSUNG,8,128,6.5,4500,32,32,304
SAMSUNG,8,128,6.5,4500,32,24,302
SAMSUNG,8,128,6.5,4500,12,12,302
SAMSUNG,8,128,6.5,4500,12,12,301
SAMSUNG,8,128,6.5,4500,12,12,301
REDMI,8,128,7.07,5000,16,60,296
REDMI,8,128,7.07,5000,16,60,296
REDMI,8,128,7.07,5000,16,60,296
Xiaomi,8,128,7.07,5160,108,108,296
Xiaomi,8,128,7.07,5160,108,108,296
realme,8,256,7.02,5000,16,74,296
realme,8,256,7.02,5000,16,74,296
realme,8,256,7.02,5000,16,74,296
vivo,6,64,6.53,4000,32,25,296
vivo,8,256,6.38,4500,16,68,296
vivo,8,128,6.44,4200,58,74,295
vivo,8,128,6.44,4500,50,74,292
vivo,8,128,6.44,4200,58,74,295
vivo,8,128,6.44,4500,50,74,292
vivo,8,128,6.44,4500,50,74,291
realme,8,256,6.4,4500,16,60,285
POCO,8,128,7.07,5160,20,60,285
realme,8,256,6.4,4500,16,60,285
realme,8,256,6.4,4500,16,60,285
POCO,8,128,7.07,5160,20,60,285
vivo,8,128,6.44,4700,16,74,285
vivo,8,128,6.44,4700,16,74,285
